zip,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zipcode,city,state,metro,countyname,avghomevalue2016,avghomevalue2018
36081,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Indianapolis,1.25,142516,4,0.95,321100,0.0525,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Indianapolis,0.9,39564,4,0.75,159000,0.0475,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Dallas,0.9688,249732,4,0.8,410000,0.0525,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Indianapolis,0.99,135996,4,0.95,304000,0.0525,36081,Troy,AL,Troy,Pike County,105579,114244
36858,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36858,Hatchechubbee,AL,Columbus,Russell County,82878,83441
36856,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36856,Fort Mitchell,AL,Columbus,Russell County,176642,185811
36867,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36867,Phenix City,AL,Columbus,Russell County,96289,99682
36869,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36869,Phenix City,AL,Columbus,Russell County,79006,79821
36875,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36875,Seale,AL,Columbus,Russell County,111042,116659
36871,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36871,Pittsview,AL,Columbus,Russell County,78691,86973
36860,2018,Chicago,1.0053,50856,2,0.55,95000,0.0563,36860,Hurtsboro,AL,Columbus,Russell County,43239,37139
36858,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36858,Hatchechubbee,AL,Columbus,Russell County,82878,83441
36856,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36856,Fort Mitchell,AL,Columbus,Russell County,176642,185811
36867,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36867,Phenix City,AL,Columbus,Russell County,96289,99682
36869,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36869,Phenix City,AL,Columbus,Russell County,79006,79821
36875,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36875,Seale,AL,Columbus,Russell County,111042,116659
36871,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36871,Pittsview,AL,Columbus,Russell County,78691,86973
36860,2018,Chicago,1.0633,57504,4,0.73,100000,0.04,36860,Hurtsboro,AL,Columbus,Russell County,43239,37139
36858,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36858,Hatchechubbee,AL,Columbus,Russell County,82878,83441
36856,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36856,Fort Mitchell,AL,Columbus,Russell County,176642,185811
36867,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36867,Phenix City,AL,Columbus,Russell County,96289,99682
36869,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36869,Phenix City,AL,Columbus,Russell County,79006,79821
36875,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36875,Seale,AL,Columbus,Russell County,111042,116659
36871,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36871,Pittsview,AL,Columbus,Russell County,78691,86973
36860,2018,Cincinnati,1.1186,146628,4,0.8,215600,0.0463,36860,Hurtsboro,AL,Columbus,Russell County,43239,37139
35178,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35178,Vincent,AL,Birmingham-Hoover,Shelby County,136591,155666
35043,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35043,Chelsea,AL,Birmingham-Hoover,Shelby County,224628,236896
35094,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35094,Leeds,AL,Birmingham-Hoover,Jefferson County,138628,153977
35176,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35176,Vandiver,AL,Birmingham-Hoover,Shelby County,51381,135613
35007,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35007,Alabaster,AL,Birmingham-Hoover,Shelby County,151985,166425
35147,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35147,Chelsea,AL,Birmingham-Hoover,Shelby County,173894,188640
35114,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35114,Alabaster,AL,Birmingham-Hoover,Shelby County,180791,197869
35040,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35040,Calera,AL,Birmingham-Hoover,Shelby County,131360,145142
35115,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35115,Montevallo,AL,Birmingham-Hoover,Shelby County,112804,125862
35186,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35186,Wilsonville,AL,Birmingham-Hoover,Shelby County,171738,196526
35124,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35124,Pelham,AL,Birmingham-Hoover,Shelby County,178739,191853
35242,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35242,Hoover,AL,Birmingham-Hoover,Jefferson County,320558,338262
35078,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35078,Harpersville,AL,Birmingham-Hoover,Shelby County,127228,143452
35143,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35143,Shelby,AL,Birmingham-Hoover,Shelby County,181028,204205
35080,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35080,Helena,AL,Birmingham-Hoover,Shelby County,169495,183508
35051,2018,Chicago,1.1447,45108,3,0.94,116900,0.05,35051,Columbiana,AL,Birmingham-Hoover,Shelby County,135817,149832
35178,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35178,Vincent,AL,Birmingham-Hoover,Shelby County,136591,155666
35043,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35043,Chelsea,AL,Birmingham-Hoover,Shelby County,224628,236896
35094,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35094,Leeds,AL,Birmingham-Hoover,Jefferson County,138628,153977
35176,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35176,Vandiver,AL,Birmingham-Hoover,Shelby County,51381,135613
35007,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35007,Alabaster,AL,Birmingham-Hoover,Shelby County,151985,166425
35147,2018,Chicago,0.9382,99065,5,0.95,156750,0.0488,35147,Chelsea,AL,Birmingham-Hoover,Shelby County,173894,188640
