ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
07656,Park Ridge,NJ,New York-Newark-Jersey City,Bergen County,530401
95724,Soda Springs,CA,Sacramento--Roseville--Arden-Arcade,Placer County,529853
02155,Medford,MA,Boston-Cambridge-Newton,Middlesex County,529834
06896,Redding,CT,Bridgeport-Stamford-Norwalk,Fairfield County,529167
80124,Lone Tree,CO,Denver-Aurora-Lakewood,Douglas County,528904
95736,Colfax,CA,Sacramento--Roseville--Arden-Arcade,Placer County,528650
97225,West Haven-Sylvan,OR,Portland-Vancouver-Hillsboro,Washington County,528240
90621,Buena Park,CA,Los Angeles-Long Beach-Anaheim,Orange County,528192
01982,Hamilton,MA,Boston-Cambridge-Newton,Essex County,528154
19971,Rehoboth Beach,DE,Salisbury,Sussex County,527979
11944,Greenport,NY,New York-Newark-Jersey City,Suffolk County,527905
95076,Watsonville,CA,Santa Cruz-Watsonville,Santa Cruz County,527314
60611,Chicago,IL,Chicago-Naperville-Elgin,Cook County,527256
90620,Buena Park,CA,Los Angeles-Long Beach-Anaheim,Orange County,527143
91343,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,527141
92019,El Cajon,CA,San Diego-Carlsbad,San Diego County,527069
08853,Branchburg Township,NJ,New York-Newark-Jersey City,Somerset County,526909
02454,Waltham,MA,Boston-Cambridge-Newton,Middlesex County,526823
95412,Annapolis,CA,Santa Rosa,Sonoma County,526801
02837,Little Compton,RI,Providence-Warwick,Newport County,526642
10451,New York,NY,New York-Newark-Jersey City,New York County,526631
92843,Garden Grove,CA,Los Angeles-Long Beach-Anaheim,Orange County,526513
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,526482
37014,Arrington,TN,Nashville-Davidson--Murfreesboro--Franklin,Williamson County,526331
02630,Barnstable,MA,Barnstable Town,Barnstable County,526305
90260,Lawndale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,526231
33706,Saint Pete Beach,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,526179
20176,Leesburg,VA,Washington-Arlington-Alexandria,Loudoun County,526145
80439,Evergreen,CO,Denver-Aurora-Lakewood,Jefferson County,525816
08536,Plainsboro Township,NJ,New York-Newark-Jersey City,Middlesex County,525621
90043,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,524879
92104,San Diego,CA,San Diego-Carlsbad,San Diego County,524788
95023,Hollister,CA,San Jose-Sunnyvale-Santa Clara,San Benito County,524705
98296,Snohomish,WA,Seattle-Tacoma-Bellevue,Snohomish County,524696
60607,Chicago,IL,Chicago-Naperville-Elgin,Cook County,524637
02021,Canton,MA,Boston-Cambridge-Newton,Norfolk County,524398
80135,Sedalia,CO,Denver-Aurora-Lakewood,Douglas County,524358
98021,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,524249
11746,Huntington,NY,New York-Newark-Jersey City,Suffolk County,524137
81631,Eagle,CO,Edwards,Eagle County,524096
90638,La Mirada,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,524006
01929,Essex,MA,Boston-Cambridge-Newton,Essex County,523763
98333,Fox Island,WA,Seattle-Tacoma-Bellevue,Pierce County,523608
07757,Oceanport,NJ,New York-Newark-Jersey City,Monmouth County,523606
20912,Takoma Park,MD,Washington-Arlington-Alexandria,Montgomery County,523477
